Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
belfort,197,12,7.24,5954,3.04,120,2,5,43106.96
dixit: journey,192,8,7.42,4197,1.26,30,3,6,31141.739999999998
the battle of five armies,85,13,7.87,2271,3.56,240,2,2,17872.77
formula d,868,8,7.02,17148,1.97,60,2,10,120378.95999999999
betrayal at house on the hill,791,12,7.06,37065,2.39,60,3,6,261678.9
pax renaissance,983,12,8.04,1902,4.38,120,2,4,15292.079999999998
time's up!,253,12,7.29,5043,1.21,90,4,18,36763.47
dice throne: season one,867,8,7.65,3802,2.05,40,2,6,29085.300000000003
"unmatched: battle of legends, volume one",430,9,8.03,2059,1.85,40,2,4,16533.77
smash up: awesome level 9000,461,12,7.25,6499,2.13,45,2,2,47117.75
luna,340,12,7.33,4487,3.33,100,1,4,32889.71
defenders of the realm,640,13,7.3,5217,2.71,90,1,4,38084.1
cuba libre,193,14,7.7,2542,3.54,180,1,4,19573.4
mr. jack,304,9,7.01,15349,2.18,30,2,2,107596.48999999999
zombicide: green horde,245,14,7.82,2889,2.52,60,1,6,22591.98
zhanguo,656,12,7.59,2863,3.83,120,2,4,21730.17
torres,634,12,7.12,8734,2.87,60,2,4,62186.08
myrmes,332,13,7.28,5058,3.45,120,2,4,36822.24
cuba,221,10,7.14,7899,3.26,120,2,5,56398.86
lord of the rings: the confrontation,322,12,7.19,6541,2.19,30,2,2,47029.79
oceans,463,12,7.7,2782,2.82,90,2,4,21421.4
wallenstein,847,12,7.47,3502,3.31,150,3,5,26159.94
warhammer quest: the adventure card game,343,14,7.37,4910,2.71,60,1,4,36186.7
star trek: ascendancy,389,14,7.8,2622,3.15,180,3,3,20451.6
fury of dracula (second edition),932,10,7.12,8982,2.95,180,2,5,63951.840000000004
skull king,204,8,7.39,4115,1.76,30,2,6,30409.85
medici,998,10,7.15,7146,2.26,60,2,6,51093.9
exit: the game - the pharaoh's tomb,476,12,7.22,5329,2.81,90,1,6,38475.38
specter ops,199,13,7.23,5631,2.4,120,2,5,40712.130000000005
the downfall of pompeii,35,10,7.13,7377,1.85,45,2,4,52598.01
coloretto,39,8,6.97,18014,1.28,30,2,5,125557.58
leaving earth,323,15,7.8,2353,3.72,180,1,5,18353.399999999998
escape: the curse of the temple,347,8,6.99,15482,1.48,10,1,5,108219.18000000001
kingdom builder,700,8,6.96,19682,2.07,45,2,4,136986.72
tokaido,638,8,6.99,20663,1.75,45,2,5,144434.37
elder sign,99,13,6.98,22154,2.35,90,1,8,154634.92
steampunk rally,771,14,7.22,5743,2.58,60,2,8,41464.46
star wars: x-wing (second edition),595,14,8.29,1689,3.03,45,2,2,14001.809999999998
vegas showdown,733,12,7.17,6080,2.36,75,3,5,43593.6
cacao,35,8,7.1,8315,1.82,45,2,4,59036.5
arkwright,332,12,7.86,1999,4.57,240,2,4,15712.140000000001
up front,670,12,7.86,2156,3.41,60,2,3,16946.16
yamataï,6,13,7.22,5451,2.95,80,2,4,39356.22
eminent domain,505,10,7.05,9520,2.5,45,2,4,67116.0
advanced squad leader: starter kit #1,72,13,7.82,2380,3.75,120,2,2,18611.600000000002
the networks,126,13,7.22,5269,2.58,90,1,5,38042.18
high society,376,10,7.05,8929,1.5,30,3,5,62949.45
the duke,804,13,7.38,3782,2.5,30,2,2,27911.16
tash-kalar: arena of legends,499,13,7.18,6071,2.85,60,2,4,43589.78
the king's dilemma,938,14,8.09,1746,2.28,60,3,5,14125.14
praga caput regni,937,12,8.33,1459,3.67,120,1,4,12153.47
arcadia quest: inferno,104,13,8.02,1932,2.41,120,2,4,15494.64
love letter: batman,489,10,7.27,5032,1.2,20,2,4,36582.64
bang! the dice game,504,8,6.95,19826,1.27,15,3,8,137790.7
mandala,747,10,7.71,2338,1.79,20,2,2,18025.98
k2,282,8,7.06,9076,2.26,60,1,5,64076.56
space hulk,308,12,7.48,3638,2.51,45,2,4,27212.24
the oracle of delphi,997,12,7.3,4206,3.0,100,2,4,30703.8
cry havoc,656,10,7.21,5901,3.28,120,2,4,42546.21
heroquest,641,14,7.14,10992,2.16,90,2,5,78482.87999999999
dawn of the zeds (third edition),640,14,8.22,1584,3.75,120,1,5,13020.480000000001
dragon castle,136,8,7.21,5628,1.97,45,2,4,40577.88
shipyard,468,11,7.36,3715,3.5,120,2,4,27342.4
century: eastern wonders,648,8,7.22,5556,2.09,45,2,4,40114.32
yspahan,75,8,7.08,7746,2.37,60,2,4,54841.68
empires: age of discovery,552,10,7.89,1890,3.35,150,2,6,14912.099999999999
between two castles of mad king ludwig,622,10,7.33,3947,2.17,60,2,7,28931.510000000002
onirim (second edition),126,10,7.09,8119,1.57,15,1,2,57563.71
middle-earth quest,932,13,7.38,3946,3.55,180,2,4,29121.48
silver & gold,305,8,7.36,3692,1.16,20,2,4,27173.120000000003
zombicide season 2: prison outbreak,245,13,7.39,4257,2.68,60,1,6,31459.23
mexica,230,10,7.24,5063,2.7,90,2,4,36656.12
coal baron,448,10,7.29,4305,2.55,75,2,4,31383.45
crusaders: thy will be done,304,14,7.59,2675,2.43,60,2,4,20303.25
ashes reborn: rise of the phoenixborn,687,14,7.29,5123,2.93,120,2,4,37346.67
between two cities,56,8,7.03,9486,1.82,25,1,7,66686.58
wir sind das volk!,288,12,7.84,1987,3.68,150,2,2,15578.08
star trek: fleet captains,42,14,7.51,3153,3.05,120,2,4,23679.03
world without end,82,12,7.26,4630,2.81,120,2,4,33613.799999999996
carcassonne: the castle,485,8,7.1,7567,1.99,30,2,2,53725.7
ascension: deckbuilding game,185,13,7.03,11811,2.15,30,1,4,83031.33
6 nimmt!,262,8,6.92,20629,1.21,45,2,10,142752.68
summoner wars: alliances master set,645,9,8.11,1634,2.72,45,2,4,13251.74
telestrations: 12 player party pack,781,12,7.76,2166,1.08,30,4,12,16808.16
d-day at omaha beach,280,12,8.26,1521,3.45,480,1,2,12563.46
churchill,436,14,7.67,2373,3.26,300,1,3,18200.91
saint petersburg (second edition),468,13,7.51,2843,2.68,60,2,5,21350.93
1989: dawn of freedom,128,12,7.79,2043,3.3,150,2,2,15914.97
feudum,656,12,7.67,2726,4.58,180,2,5,20908.42
my little scythe,870,8,7.37,3801,2.01,60,1,6,28013.37
diplomacy,672,12,7.04,12105,3.36,360,2,7,85219.2
reef,895,8,7.1,6821,1.83,45,2,4,48429.1
caverna: cave vs cave,937,10,7.19,5067,2.58,40,1,2,36431.73
among the stars,771,12,7.08,6677,2.23,30,2,4,47273.16
ex libris,365,10,7.21,5014,2.56,45,1,4,36150.94
prêt-à-porter,43,10,7.41,3362,3.61,90,2,4,24912.420000000002
super motherload,59,13,7.39,3358,2.3,75,2,4,24815.62
warhammer: invasion,699,13,7.22,5692,2.73,45,2,2,41096.24
space hulk: death angel - the card game,282,13,6.99,12222,2.42,60,1,6,85431.78
cribbage,182,10,7.05,8302,1.9,30,2,4,58529.1
washington's war,422,0,7.63,2375,2.84,90,2,2,18121.25
king of new york,893,10,6.96,14174,1.87,40,2,6,98651.04
villagers,126,10,7.35,4182,2.22,60,1,5,30737.699999999997
vast: the crystal caverns,442,10,7.17,5833,3.6,75,1,5,41822.61
conflict of heroes: awakening the bear! - russia 1941-42,2,10,7.51,2975,3.0,120,1,4,22342.25
deep sea adventure,444,8,6.99,10755,1.18,30,2,6,75177.45
vasco da gama,294,12,7.25,4289,3.23,120,2,4,31095.25
the mind,942,8,6.91,19317,1.08,15,2,4,133480.47
kanagawa,747,10,7.1,7036,2.03,45,2,4,49955.6
wits & wagers,371,10,6.93,13372,1.21,25,3,7,92667.95999999999
smartphone inc.,235,12,7.75,2047,2.76,90,1,5,15864.25
panamax,75,12,7.33,3574,3.76,100,2,4,26197.420000000002
exit: the game - the secret lab,476,12,7.13,5581,2.58,150,1,6,39792.53
oh my goods!,408,10,7.01,9383,2.3,30,2,4,65774.83
13 days: the cuban missile crisis,128,10,7.31,3758,2.35,45,2,2,27470.98
dungeons & dragons: the legend of drizzt board game,571,12,7.25,5572,2.59,60,1,5,40397.0
tribune: primus inter pares,345,12,7.23,4421,2.87,120,2,5,31963.83
napoleon's triumph,344,12,7.97,1699,3.65,180,2,2,13541.029999999999
yedo,221,14,7.38,3474,3.35,180,2,5,25638.12
blue moon city,607,14,7.04,7697,2.3,50,2,4,54186.88
disney villainous,321,10,7.06,9955,2.41,50,2,6,70282.3
one deck dungeon,343,14,7.07,8027,2.05,45,1,2,56750.89
finca,305,10,7.07,6818,2.08,45,2,4,48203.26
marvel dice masters: avengers vs. x-men,174,14,7.16,5534,2.3,60,2,2,39623.44
tajemnicze domostwo,264,8,7.18,4882,1.86,60,2,7,35052.76
xcom: the board game,241,14,7.06,7891,2.9,120,1,4,55710.46
spyfall,161,13,6.88,18226,1.24,15,3,8,125394.88
city of the big shoulders,840,14,7.93,1729,4.05,180,2,4,13710.97
fuse,56,10,7.06,7036,1.67,10,1,5,49674.159999999996
squad leader,772,14,7.51,3154,4.04,60,2,2,23686.54
warhammer underworlds: shadespire,373,12,7.78,2532,2.46,30,2,2,19698.96
blokus,714,7,6.88,22895,1.77,20,2,4,157517.6
jambo,408,12,7.01,7965,2.07,45,2,2,55834.65
lords of xidit,957,14,7.14,5261,2.62,90,3,5,37563.54
century: a new world,59,8,7.48,2880,2.13,45,2,4,21542.4
civilization: a new dawn,865,14,7.31,4283,3.07,120,2,4,31308.73
zombie kidz evolution,717,7,7.89,1918,1.42,15,2,4,15133.019999999999
the pursuit of happiness,629,12,7.24,4107,2.49,90,1,4,29734.68
cooper island,937,12,7.72,2080,4.16,120,1,4,16057.6
reef encounter,931,10,7.14,4970,3.68,120,2,4,35485.799999999996
zèrtz,575,9,7.29,3915,2.74,60,2,2,28540.35
a fake artist goes to new york,887,8,7.17,4790,1.16,20,5,10,34344.3
combat commander: pacific,212,12,8.09,1472,3.23,180,2,2,11908.48
scoville,998,13,7.17,4769,2.78,90,2,6,34193.73
draftosaurus,466,8,7.19,4703,1.22,15,2,5,33814.57
unlock!: heroic adventures,681,10,7.82,1835,2.24,60,1,6,14349.7
tinners' trail,30,13,7.26,3811,2.83,90,3,4,27667.86
treasure island,932,10,7.3,3747,2.27,45,2,5,27353.1
red7,215,9,6.92,12692,1.7,30,2,4,87828.64
king of tokyo: dark edition,209,8,7.89,1854,1.63,30,2,6,14628.06
black angel,774,12,7.42,3027,3.82,120,1,4,22460.34
star wars: the card game,269,10,7.19,5328,2.96,60,2,2,38308.32
spyrium,332,12,7.08,5776,2.9,75,2,5,40894.08
