Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
zany penguins,554,7,6.69,969,1.42,20,2,5,6482.610000000001
getaway driver,699,12,6.84,816,2.52,45,2,2,5581.44
santa fe rails,288,12,6.79,848,2.52,60,2,5,5757.92
leo,98,6,6.7,970,1.19,30,2,5,6499.0
chimera,113,13,7.03,662,2.18,45,3,3,4653.860000000001
tokyo metro,651,14,7.37,489,3.3,90,1,5,3603.93
via appia,309,8,6.65,1039,1.96,45,2,4,6909.35
chaosmos,80,12,6.94,790,2.69,90,2,4,5482.6
wordsy,362,10,7.0,672,1.25,20,1,6,4704.0
milestones,62,10,6.59,1096,2.6,60,2,4,7222.639999999999
12 days,770,8,6.52,1292,1.21,15,3,5,8423.84
livingstone,124,8,6.46,1464,2.02,35,2,5,9457.44
battleship galaxies,828,13,6.57,1206,2.38,70,2,4,7923.42
neuroshima: convoy,401,10,6.71,986,2.58,40,2,2,6616.06
fürstenfeld,82,13,6.52,1196,2.46,60,2,5,7797.919999999999
timeline: american history,4,8,6.7,964,1.15,15,2,8,6458.8
kobayakawa,371,9,6.35,1797,1.18,15,3,6,11410.949999999999
mystery rummy: al capone and the chicago underworld,305,8,6.84,798,1.59,40,2,4,5458.32
masques,554,13,6.51,1379,2.01,45,2,4,8977.289999999999
world championship russian roulette,366,12,6.94,783,1.33,30,2,6,5434.02
bites,26,12,7.3,532,1.5,20,2,5,3883.6
apex theropod deck-building game,405,14,7.33,588,2.94,290,1,6,4310.04
doctor who: time of the daleks,105,14,7.08,729,2.36,120,2,4,5161.32
buffy the vampire slayer: the board game,292,13,6.88,973,2.74,60,1,6,6694.24
12 thieves,182,8,6.44,1538,1.86,45,2,4,9904.720000000001
pyramids,86,10,6.75,860,1.95,30,2,5,5805.0
foothills,160,10,7.19,555,2.77,45,2,2,3990.4500000000003
café international,35,10,6.24,2534,1.66,60,2,4,15812.16
d-day at tarawa,280,0,8.21,352,3.67,420,1,1,2889.92
imperial settlers: roll & write,131,10,6.46,1459,1.83,30,1,4,9425.14
goblivion,450,12,7.87,434,2.22,30,1,2,3415.58
game of thrones: the iron throne,742,18,6.85,863,2.62,60,3,5,5911.549999999999
cupcake empire,332,10,7.18,580,2.84,60,2,4,4164.4
the game: face to face,12,8,7.1,609,1.33,20,2,2,4323.9
spooky stairs,864,4,6.45,1566,1.1,15,2,4,10100.7
dark tales,46,14,6.6,1195,1.54,30,2,4,7887.0
timeline: americana,4,8,6.7,952,1.13,15,2,8,6378.400000000001
khronos,230,10,6.36,1769,3.56,90,2,5,11250.84
1911 amundsen vs scott,554,12,6.73,961,1.74,20,2,2,6467.530000000001
go cuckoo!,204,4,6.74,905,1.0,15,2,5,6099.7
rival restaurants,259,10,8.02,627,2.32,60,2,6,5028.54
sunrise city,771,10,6.63,1027,2.34,60,2,4,6809.01
el caballero,230,13,6.46,1379,3.18,90,2,4,8908.34
gaslands: refuelled,570,11,8.51,305,2.83,90,2,8,2595.5499999999997
axis & allies: war at sea,556,12,7.06,735,2.08,60,2,2,5189.099999999999
asgard,332,12,6.82,832,3.79,120,2,4,5674.24
magic: the gathering - arena of the planeswalkers,805,10,6.27,2898,2.34,60,2,5,18170.46
narcos: the board game,218,18,7.32,557,3.0,100,2,5,4077.2400000000002
hold the line,802,0,7.29,527,1.83,60,2,2,3841.83
whoowasit?,196,6,6.83,824,1.45,45,2,4,5627.92
wing leader: victories 1940-1942,800,0,7.93,380,3.13,180,2,2,3013.4
subdivision,881,13,6.49,1285,2.37,45,1,4,8339.65
cthulhu gloom,650,13,6.4,1762,1.77,60,2,5,11276.800000000001
hnefatafl,898,7,6.57,1203,2.55,20,2,2,7903.71
rolling america,358,8,6.4,1523,1.54,15,1,99,9747.2
cheeky monkey,207,7,6.61,1029,1.15,15,2,6,6801.6900000000005
the witcher adventure game,601,16,6.39,2286,2.46,120,2,4,14607.539999999999
spirits of the rice paddy,771,13,6.72,889,3.09,90,2,4,5974.08
arimaa,45,10,7.24,639,3.52,60,2,2,4626.360000000001
pixel tactics 3,160,12,7.14,592,2.44,30,2,2,4226.88
railways of the world: the card game,549,8,6.71,897,2.2,60,2,4,6018.87
hoplomachus: rise of rome,457,12,8.19,324,2.94,30,1,2,2653.56
trekking the national parks: second edition,361,10,7.21,608,1.73,60,2,5,4383.68
war and peace,106,12,6.69,1096,3.32,180,2,6,7332.240000000001
haru ichiban,138,8,6.67,986,1.75,20,2,2,6576.62
rapa nui,554,10,6.77,812,2.07,40,2,4,5497.24
unstable unicorns,886,14,6.31,4149,1.56,45,2,8,26180.19
dragoon,521,13,7.08,833,1.95,60,2,4,5897.64
othello,18,8,6.1,7040,2.1,30,2,2,42944.0
wicked witches way,86,8,6.43,1473,1.46,30,2,6,9471.39
marvel: crisis protocol,179,14,8.41,370,2.86,45,2,2,3111.7000000000003
pixel tactics deluxe,160,12,7.39,498,2.58,45,2,4,3680.22
ticket to ride: the card game,215,8,6.14,3901,1.87,30,2,4,23952.14
darklight: memento mori,149,14,8.45,487,3.57,120,1,4,4115.15
2nd fleet: modern naval combat in the north atlantic,529,12,7.29,560,3.42,240,1,2,4082.4
fields of despair: france 1914-1918,298,13,7.95,369,3.2,180,2,2,2933.55
dead last,41,14,6.35,1765,1.05,90,6,12,11207.75
council of verona,554,13,6.33,1828,1.4,20,2,5,11571.24
tanto cuore: expanding the house,505,12,7.53,482,2.13,45,2,4,3629.46
power rangers: heroes of the grid,414,14,8.1,529,2.71,60,2,5,4284.9
firefly fluxx,215,8,6.68,1065,1.31,30,2,6,7114.2
entdecker,700,10,6.44,1411,2.24,60,2,4,9086.84
polarity,163,8,6.37,1719,1.68,20,2,4,10950.03
homeland: the game,938,14,6.6,1020,2.65,90,3,6,6732.0
northern pacific,729,7,7.05,598,1.55,60,3,6,4215.9
simurgh,840,14,6.75,876,2.97,90,2,5,5913.0
richelieu,468,12,6.59,1041,1.92,45,2,2,6860.19
munchkin cthulhu,389,10,6.2,4969,1.71,90,3,6,30807.8
solarius mission,399,12,7.24,512,3.95,150,2,4,3706.88
phantom leader,619,12,7.49,471,2.6,30,1,1,3527.79
the caucasus campaign,379,0,7.64,414,3.0,360,2,2,3162.96
eggs and empires,262,8,6.71,862,1.26,25,2,6,5784.0199999999995
pax,360,10,6.78,795,2.13,45,1,4,5390.1
apotheca,785,13,6.71,1025,1.96,30,1,4,6877.75
flash duel: second edition,236,0,6.86,775,1.62,15,1,5,5316.5
loopin' chewie,557,4,6.33,1687,1.0,15,2,3,10678.710000000001
castle dice,993,10,6.67,964,2.27,45,1,4,6429.88
potato man,204,10,6.72,849,1.44,40,2,5,5705.28
don't get got!,208,14,7.18,568,1.08,1440,2,10,4078.24
hordes,978,12,7.56,465,3.32,60,2,8,3515.3999999999996
bargain hunter,904,10,6.74,822,1.87,45,3,4,5540.28
rockwell,528,14,7.13,575,3.2,90,2,4,4099.75
sherlock: the tomb of the archaeologist,567,10,6.78,804,1.53,60,1,8,5451.12
dragon's breath,97,5,6.66,936,1.08,20,2,4,6233.76
papà paolo,775,10,6.98,660,2.76,75,2,4,4606.8
war of 1812,980,12,7.03,637,2.11,90,2,2,4478.110000000001
game of trains,86,8,6.36,1661,1.21,20,2,4,10563.960000000001
lost legends,598,10,6.45,1307,2.45,70,3,5,8430.15
divvy dice,94,8,7.0,625,2.1,30,1,4,4375.0
word domination,614,13,7.1,599,1.88,45,2,4,4252.9
dust,135,12,6.45,1430,2.62,180,2,6,9223.5
toledo,127,10,6.27,1988,2.18,60,2,4,12464.759999999998
the island of el dorado,709,10,6.81,1374,1.83,80,2,4,9356.939999999999
trick of the rails,446,10,6.68,869,2.3,20,3,5,5804.92
dungeon universalis,149,12,8.99,454,4.1,180,1,6,4081.46
the binding of isaac: four souls,203,13,6.94,1241,2.21,60,2,4,8612.54
monikers: the shut up & sit down nonsense box,536,18,8.1,303,1.0,60,4,20,2454.2999999999997
ugg-tect,123,8,6.3,1820,1.19,45,2,8,11466.0
courtier,197,10,6.66,905,2.34,45,2,4,6027.3
spinderella,109,6,6.48,1321,1.16,20,2,4,8560.08
tantrix,117,8,6.33,1874,2.22,30,1,4,11862.42
bad bones,48,8,7.02,679,2.14,45,1,6,4766.58
herbaceous sprouts,291,8,7.08,590,1.78,30,1,4,4177.2
tiefe taschen,474,12,7.23,511,1.5,50,4,8,3694.53
uchronia,345,14,6.5,1173,2.74,60,2,5,7624.5
heartland,35,8,6.84,714,2.1,60,2,5,4883.76
fische fluppen frikadellen,982,10,6.59,986,2.51,90,2,5,6497.74
catan histories: struggle for rome,439,10,6.43,1360,2.55,120,3,4,8744.8
excape,722,8,6.34,1575,1.14,30,3,6,9985.5
caesar: epic battle of alesia,752,12,7.1,612,2.99,360,2,4,4345.2
renature,614,8,7.71,399,2.09,60,2,4,3076.29
curious cargo,775,12,7.53,421,3.07,60,2,2,3170.13
midgard,598,12,6.58,1004,2.37,60,3,5,6606.32
welcome to centerville,75,12,6.98,626,2.45,80,2,4,4369.4800000000005
was sticht?,833,12,6.96,619,2.4,60,3,4,4308.24
fossilis,190,8,7.55,452,2.2,60,2,5,3412.6
spqr,752,13,7.38,472,3.72,240,2,2,3483.36
terrors of london,569,14,7.29,562,2.38,40,2,2,4096.9800000000005
deckscape: behind the curtain,48,12,7.02,597,2.14,90,1,6,4190.94
taco cat goat cheese pizza,251,8,6.96,751,1.04,30,2,8,5226.96
grimoire,549,12,6.42,1342,1.86,30,2,5,8615.64
panzer: the game of small unit actions and combined arms operations on the eastern front 1943-45,13,0,7.78,407,3.73,300,2,4,3166.46
london dread,929,14,6.72,901,2.93,90,2,4,6054.719999999999
the dark valley,280,0,7.94,389,3.38,500,1,2,3088.6600000000003
star fleet battles: captain's edition basic set,529,12,7.48,483,4.25,180,1,6,3612.84
guildhall fantasy: fellowship,205,10,7.13,565,2.0,45,2,4,4028.45
rolling freight,288,13,6.8,727,3.0,180,2,5,4943.599999999999
rat-a-tat cat,86,6,6.22,2865,1.12,10,2,6,17820.3
the mines of zavandor,234,10,6.59,969,2.6,90,2,4,6385.71
trogdor!! the board game,476,14,7.03,658,1.76,60,1,6,4625.74
scarabya,425,8,6.64,928,1.23,20,1,4,6161.92
perdition's mouth: abyssal rift,946,10,7.56,537,3.85,180,1,6,4059.72
travel carcassonne,485,8,7.24,500,1.89,45,2,5,3620.0
deadwood 1876,409,13,6.65,1029,1.84,40,2,9,6842.85
space gate odyssey,62,12,7.14,566,2.85,90,2,4,4041.24
the korean war june 1950-may 1951,157,15,7.64,412,3.66,960,1,2,3147.68
unpublished prototype,836,0,6.9,804,2.47,0,0,0,5547.6
unmatched game system,96,9,8.61,266,2.0,40,2,4,2290.2599999999998
smart10,249,10,7.46,446,1.31,120,2,8,3327.16
ice flow,309,11,6.41,1378,2.15,75,2,4,8832.98
godzilla: tokyo clash,160,10,7.59,468,2.07,45,2,4,3552.12
opera,695,12,6.62,1001,3.23,90,2,4,6626.62
ligretto,374,8,6.18,3502,1.19,10,2,4,21642.36
augsburg 1520,234,12,6.44,1229,2.67,75,2,5,7914.76
mystery rummy: murders in the rue morgue,853,8,6.73,805,1.71,40,2,4,5417.650000000001
rent a hero,861,8,6.35,1581,1.48,30,3,5,10039.349999999999
confucius,54,12,6.83,698,3.71,100,3,5,4767.34
shipwrights of the north sea,463,10,6.42,1402,2.29,60,2,5,9000.84
asia engulfed,289,12,7.56,418,3.79,480,2,2,3160.08
overseers,664,12,6.69,943,2.04,45,3,6,6308.67
navia dratp,45,8,7.17,571,2.89,30,2,2,4094.07
jenseits von theben,818,10,7.13,544,2.43,75,2,4,3878.72
battleball,723,8,6.27,2068,1.51,45,2,2,12966.359999999999
slide 5,150,8,6.53,1046,1.29,30,2,10,6830.38
cheaty mages!,861,12,6.26,1911,1.58,30,3,6,11962.859999999999
new dawn,713,12,6.89,687,3.03,120,2,4,4733.429999999999
canterbury,230,10,6.96,626,3.09,90,2,4,4356.96
quebec 1759,980,12,6.94,686,2.15,60,2,2,4760.84
breaking away,214,10,7.33,448,2.28,90,2,9,3283.84
keltis: das orakel,23,10,6.89,661,2.11,30,2,4,4554.29
voodoo prince,204,8,7.02,575,1.67,20,2,5,4036.4999999999995
indulgence,833,14,6.82,698,1.89,60,3,4,4760.360000000001
dos rios,835,12,6.42,1348,2.53,70,2,4,8654.16
hand of fate: ordeals,823,14,7.34,548,3.0,120,1,4,4022.3199999999997
afrika: 2nd edition,379,14,7.56,404,2.72,360,2,2,3054.24
18eu,538,14,7.59,375,4.22,300,2,6,2846.25
war of the worlds: the new wave,144,0,7.26,556,2.22,60,2,2,4036.56
tongiaki: journey into the unknown,485,10,6.23,2285,1.96,45,2,6,14235.550000000001
enchanters: overlords,359,14,7.55,425,1.92,60,2,4,3208.75
d100 dungeon,130,10,7.76,491,2.86,90,1,1,3810.16
if wishes were fishes!,197,10,6.49,1136,1.95,45,2,5,7372.64
dungeons & dragons: waterdeep - dungeon of the mad mage,941,14,8.0,480,2.41,60,1,5,3840.0
quartz,563,14,6.9,750,1.24,60,3,5,5175.0
valparaíso,728,12,6.9,665,2.84,90,2,5,4588.5
wise and otherwise,386,12,6.65,972,1.51,45,2,6,6463.8
sabotage,140,10,7.46,433,2.94,90,2,4,3230.18
the bucket king,321,10,6.33,1551,1.23,45,2,6,9817.83
team play,183,8,6.95,602,1.31,30,3,6,4183.900000000001
risk: game of thrones,85,18,6.74,1318,2.82,240,2,7,8883.32
madame ching,215,8,6.47,1139,2.16,45,2,4,7369.33
codex: card-time strategy - core set,569,13,7.53,410,3.45,45,2,5,3087.3
taluva deluxe,693,8,7.82,338,2.38,45,2,4,2643.1600000000003
legendary: big trouble in little china,971,14,7.08,604,1.82,60,2,5,4276.32
dungeons & dragons basic game,830,12,6.79,807,3.04,90,2,5,5479.53
wellington: the peninsula war 1812-1814,173,12,6.93,633,3.22,180,2,4,4386.69
conquest of the fallen lands,446,10,6.79,765,2.36,90,3,5,5194.35
star wars: empire vs. rebellion,431,10,6.32,1691,1.73,60,2,2,10687.12
escape room in a box: the werewolf experiment,404,13,7.15,520,2.29,90,2,8,3718.0
starship troopers,525,12,6.52,1183,3.11,120,1,2,7713.16
carcassonne: safari,309,7,7.08,584,1.85,35,2,5,4134.72
wacky wacky west,309,9,6.29,1735,1.84,45,2,4,10913.15
survive: space attack!,105,8,7.05,559,2.14,60,2,4,3940.95
order of the gilded compass,301,10,6.92,621,2.23,60,2,5,4297.32
aqua romana,309,8,6.32,1594,2.17,60,2,4,10074.08
"13 minutes: the cuban missile crisis, 1962",128,10,6.46,1118,2.02,13,2,2,7222.28
leaping lemmings,520,13,6.44,1180,1.83,72,2,6,7599.200000000001
buccaneer,376,8,6.28,1688,1.59,30,3,5,10600.640000000001
micropul,660,9,6.77,784,1.91,30,1,2,5307.679999999999
chai,750,8,7.08,636,1.62,60,1,5,4502.88
nevsky: teutons and rus in collision 1240-1242,737,14,8.29,294,3.75,360,1,2,2437.2599999999998
king of the dice,302,8,6.78,753,1.05,30,2,5,5105.34
tunisia,379,16,7.76,384,4.07,360,2,2,2979.84
small islands,690,8,6.93,663,2.04,30,1,4,4594.59
bravo!,94,8,7.34,457,1.85,20,1,6,3354.38
nuclear war,650,10,6.21,2811,1.44,60,2,6,17456.31
triumvirate,288,12,6.72,757,1.93,30,2,2,5087.04
ankh'or,622,8,7.03,597,1.82,30,2,4,4196.91
rocky road à la mode,87,10,6.77,729,1.83,30,2,4,4935.33
battle for germany,17,12,7.14,533,2.11,180,2,4,3805.62
sherlock holmes consulting detective: the baker street irregulars,93,14,8.54,261,2.25,90,1,8,2228.9399999999996
goldbräu,751,10,6.41,1267,2.52,60,3,4,8121.47
beowulf: the movie board game,714,10,6.38,1543,2.13,60,2,4,9844.34
bring your own book,621,12,6.87,668,1.13,20,3,8,4589.16
close action: the age of fighting sail vol. 1,65,12,7.83,365,3.48,240,2,30,2857.95
municipium,398,10,6.68,800,2.43,60,2,4,5344.0
bombay,448,10,6.3,1667,2.05,60,2,5,10502.1
dragon's hoard,747,8,6.48,1204,1.43,45,2,4,7801.92
dc comics dice masters: war of light,174,14,7.3,474,2.27,60,2,2,3460.2
1906 san francisco,398,12,7.3,444,2.29,60,2,4,3241.2
good & bad ghosts,363,6,6.36,1419,1.31,15,2,2,9024.84
octodice,358,10,6.5,1069,1.89,30,1,4,6948.5
cave evil,756,16,7.94,357,3.44,180,2,4,2834.58
"1066, tears to many mothers",814,12,7.15,566,2.24,60,1,2,4046.9
keltis: der weg der steine mitbringspiel,207,7,6.45,1155,1.26,15,2,4,7449.75
micro mutants: evolution,124,10,6.61,920,1.43,30,2,4,6081.200000000001
amul,274,10,6.99,590,2.14,45,3,8,4124.1
lunarchitects,937,13,7.29,451,2.64,60,1,5,3287.79
summit: the board game,668,14,7.18,631,2.3,180,1,6,4530.58
noah,182,7,6.51,1099,1.34,30,2,5,7154.49
doodle quest,629,6,6.72,758,1.09,15,1,4,5093.76
pax emancipation,364,14,7.65,352,4.47,120,1,3,2692.8
mr. cabbagehead's garden,126,10,7.21,488,1.71,20,1,2,3518.48
vs system,168,10,6.77,811,2.6,15,2,2,5490.469999999999
glorantha: the gods war,79,14,8.11,333,3.43,120,3,4,2700.6299999999997
magnastorm,332,12,6.84,698,3.11,100,2,4,4774.32
sonora,362,10,7.24,486,2.3,45,1,4,3518.6400000000003
railways of nippon,91,12,7.72,338,2.6,120,2,4,2609.36
dungeon mayhem: monster madness,727,8,7.76,371,1.14,10,2,6,2878.96
deckscape: the mystery of eldorado,299,12,6.59,925,1.86,90,1,6,6095.75
dark souls: the card game,450,12,6.98,766,2.56,60,1,4,5346.68
compatibility,52,12,6.52,1123,1.12,30,3,6,7321.959999999999
clippers,818,10,6.59,928,2.62,90,2,5,6115.5199999999995
"warhammer 40,000 (eighth edition)",546,12,7.7,370,3.41,180,2,12,2849.0
13 clues,182,8,6.78,714,1.93,30,2,6,4840.92
dungeons & dragons dice masters: faerûn under siege,174,14,7.59,387,2.4,60,2,2,2937.33
catan geographies: germany,255,10,6.88,659,2.38,60,3,4,4533.92
campaign trail,236,12,7.82,360,2.8,115,1,6,2815.2000000000003
great war commander,616,12,8.39,300,3.12,120,2,3,2517.0
pendulum,58,12,6.73,807,2.86,90,1,5,5431.110000000001
cockroach salad,251,6,6.16,2610,1.15,20,2,6,16077.6
cities,31,8,6.41,1172,1.66,30,1,4,7512.52
kaleidos,251,10,6.71,799,1.25,60,2,12,5361.29
advanced squad leader: starter kit expansion pack #1,701,14,8.28,292,3.63,480,2,2,2417.7599999999998
agility,554,10,7.08,542,2.1,45,2,2,3837.36
stellar,82,8,7.6,389,2.08,30,2,2,2956.3999999999996
xi'an,408,14,7.28,455,2.73,60,2,4,3312.4
mai-star,349,14,6.53,1041,1.9,30,3,6,6797.7300000000005
war of the ring,477,12,6.66,946,3.47,180,2,3,6300.360000000001
munchkin adventure time,603,10,6.48,1562,1.89,120,3,6,10121.76
meeple war,528,10,6.64,856,2.74,60,2,4,5683.84
the dragon & flagon,140,10,6.45,1169,2.39,60,2,8,7540.05
burger up,602,9,6.87,731,1.67,30,2,4,5021.97
song of blades and heroes: revised edition,79,12,7.77,371,2.23,45,2,6,2882.6699999999996
team3 green,52,14,7.11,525,1.17,30,3,6,3732.75
posthuman,994,13,6.51,1201,3.17,120,1,4,7818.509999999999
sakura arms,593,14,7.61,429,2.87,30,2,2,3264.69
yardmaster,747,8,6.35,1432,1.23,20,2,5,9093.199999999999
small star empires,6,13,7.24,547,2.0,30,2,4,3960.28
ace of aces: powerhouse series,839,12,7.27,471,1.8,20,2,2,3424.1699999999996
hearts and minds: vietnam 1965-1975,239,12,7.5,381,2.82,180,2,2,2857.5
starship samurai,225,14,7.07,579,2.5,75,2,4,4093.53
mogul,523,13,6.81,665,2.05,45,3,5,4528.65
munchkin zombies,210,10,6.22,3143,1.94,90,3,6,19549.46
firefly adventures: brigands and browncoats,550,14,7.09,605,2.75,120,1,5,4289.45
sewer pirats,466,10,6.62,876,2.15,60,2,5,5799.12
the siege of jerusalem (third edition),115,12,7.09,552,3.88,300,1,2,3913.68
pylos,138,8,6.32,1645,1.96,10,2,2,10396.4
british rails,178,12,6.92,660,2.57,180,2,6,4567.2
battle hymn,525,12,7.53,412,3.27,240,1,1,3102.36
nautilus,59,12,6.38,1384,2.66,120,2,4,8829.92
histrio,583,10,6.58,953,2.06,40,2,5,6270.74
metallum,197,10,7.14,499,2.73,60,2,2,3562.8599999999997
liberty: the american revolution 1775-83,705,12,7.2,486,2.65,180,2,2,3499.2000000000003
time's up! academy,253,12,7.23,459,1.07,30,4,12,3318.57
tail feathers,948,9,7.07,619,3.04,90,2,4,4376.33
traditional card games,836,0,6.61,885,1.95,0,0,0,5849.85
the cousins' war,449,12,7.23,485,2.07,30,2,2,3506.55
tally ho!,204,8,6.14,2717,1.49,30,2,2,16682.379999999997
darwin's journey,596,14,7.95,325,3.74,120,1,4,2583.75
marvel dice masters: civil war,174,14,7.33,434,2.67,60,2,2,3181.2200000000003
riichi mahjong,108,8,8.36,306,3.33,120,4,4,2558.16
roll for adventure,286,10,6.84,697,2.1,30,2,4,4767.48
attack on titan: deck-building game,663,15,6.99,636,2.22,90,1,5,4445.64
funkoverse strategy game: harry potter 100,25,10,6.96,629,2.25,60,2,4,4377.84
andromeda,904,10,6.38,1285,2.23,60,3,5,8198.3
rescue polar bears: data & temperature,487,8,7.24,458,2.33,60,1,4,3315.92
"win, place & show",722,8,6.71,823,2.08,120,3,6,5522.33
il principe,221,10,6.42,1180,2.83,60,2,5,7575.6
among the stars: revival,863,12,7.2,444,2.29,30,2,6,3196.8
dungeons & dragons: attack wing,595,14,7.22,544,2.94,30,2,99,3927.68
ponte del diavolo,18,10,6.49,1075,2.37,25,2,2,6976.75
kingdom of solomon,552,12,6.94,594,2.76,60,2,4,4122.360000000001
great wall of china,521,10,6.2,2026,1.86,30,2,5,12561.2
trekking the national parks,747,8,7.03,575,1.69,60,2,6,4042.25
nuclear escalation,650,10,6.58,946,1.6,30,2,6,6224.68
cosmic encounter,699,12,6.41,1275,2.3,60,2,4,8172.75
city tycoon,288,10,6.52,959,2.81,120,2,5,6252.679999999999
risk: godstorm,85,10,6.27,2455,2.69,120,2,5,15392.849999999999
rangers of shadow deep,245,12,8.73,306,2.11,120,1,4,2671.38
codenames: harry potter,366,0,6.79,729,1.63,15,2,2,4949.91
india rails,178,12,7.08,540,2.61,180,2,6,3823.2
france '40,13,12,7.74,336,2.93,240,2,2,2600.64
court of the medici,82,12,6.58,876,1.91,25,2,2,5764.08
tavarua,327,13,7.19,488,2.27,60,1,6,3508.7200000000003
maharani,907,8,6.58,883,2.0,40,2,4,5810.14
sharp shooters,101,10,6.42,1208,1.25,10,2,6,7755.36
rattlebones,100,14,6.5,989,1.56,30,2,4,6428.5
speculation,255,10,6.68,764,2.0,45,3,6,5103.5199999999995
zero!,873,12,6.94,594,2.29,60,2,10,4122.360000000001
bamboleo,366,6,6.35,1397,1.2,30,2,7,8870.949999999999
melee,477,10,7.3,660,2.29,15,2,2,4818.0
abandon all artichokes,86,10,7.12,523,1.5,20,2,4,3723.76
quartermaster general: victory or death - the peloponnesian war,128,12,7.22,459,2.53,120,2,4,3313.98
utopia engine,235,0,6.9,751,2.05,60,1,1,5181.900000000001
cairn,804,10,7.58,383,1.63,25,2,2,2903.14
monikers: shmonikers,536,18,8.04,279,1.0,60,4,20,2243.16
cry havoc,772,12,6.86,700,2.27,240,2,6,4802.0
lanterns dice: lights in the sky,434,10,6.97,573,2.0,45,2,4,3993.81
mistfall: heart of the mists,292,14,7.43,423,4.11,120,1,4,3142.89
malifaux,978,0,7.51,416,3.31,120,2,2,3124.16
battle masters,947,9,6.28,2179,1.87,60,2,2,13684.12
impact: battle of elements,67,8,6.69,782,1.03,15,2,5,5231.58
here come the rebels,72,12,7.68,350,3.38,180,2,2,2688.0
illuminati,82,12,6.2,2649,2.48,120,2,6,16423.8
deckscape: the fate of london,973,12,6.29,1511,2.08,60,1,6,9504.19
patchwork express,89,6,7.01,571,1.64,10,2,2,4002.71
kingdom defenders,166,12,7.76,353,3.13,90,2,4,2739.2799999999997
tanto cuore: romantic vacation,505,12,7.51,405,2.48,30,2,4,3041.5499999999997
time's up! family,158,8,7.05,518,1.08,30,4,12,3651.9
eketorp,916,8,6.36,1308,2.08,60,3,6,8318.880000000001
ruhrschifffahrt 1769-1890,982,12,7.22,442,3.5,120,2,4,3191.24
captains of industry,54,13,7.08,515,3.78,150,3,5,3646.2
504,689,12,6.3,1506,3.47,120,2,4,9487.8
dog,321,9,6.37,1371,1.46,45,2,6,8733.27
havoc: the hundred years war,463,10,6.68,753,2.14,60,2,6,5030.04
x-odus: rise of the corruption,990,14,8.14,388,3.3,150,1,4,3158.32
ur,510,10,6.5,959,3.08,45,3,4,6233.5
emerald,36,10,6.35,1297,1.68,45,2,5,8235.949999999999
atlantis rising,570,10,6.54,943,2.53,90,2,6,6167.22
way of the panda,332,14,6.93,601,3.45,90,2,4,4164.929999999999
alcatraz: the scapegoat,938,15,6.33,1433,2.34,60,3,4,9070.89
early american chrononauts,798,11,6.61,902,1.86,45,1,6,5962.22
11 nimmt!,182,8,6.3,1468,1.21,30,2,7,9248.4
evolution: the origin of species,520,12,6.29,1923,2.07,60,2,4,12095.67
das motorsportspiel,444,10,7.45,374,2.0,120,2,12,2786.3
luchador! mexican wrestling dice,67,8,6.46,1128,1.22,15,2,6,7286.88
vektorace,667,12,8.09,355,2.15,120,2,4,2871.95
mint delivery,473,13,6.27,1714,1.49,30,1,5,10746.779999999999
magical athlete,330,9,6.5,1007,1.31,60,4,5,6545.5
unicorn fever,237,14,7.46,406,2.08,40,2,6,3028.7599999999998
subatomic: an atom building game,848,10,7.05,542,2.0,60,2,4,3821.1
junta: viva el presidente!,210,10,6.42,1267,1.93,60,3,5,8134.14
hellas,634,12,6.19,2060,2.05,60,2,2,12751.400000000001
machina arcana (second/third edition),856,13,8.0,351,3.63,150,1,4,2808.0
escape the dark sector,130,0,8.2,456,1.82,60,1,4,3739.2
tycoon,398,10,6.78,668,2.65,90,2,4,4529.04
aliens: another glorious day in the corps,405,14,7.76,466,2.74,120,1,6,3616.16
key largo,238,8,6.6,844,2.04,40,3,5,5570.4
advanced third reich,84,12,6.89,730,4.53,2480,2,6,5029.7
articulate!,253,12,6.53,1175,1.28,60,4,8,7672.75
elfenroads,22,13,7.05,525,2.21,90,2,6,3701.25
fireball island,109,7,6.44,1541,1.36,45,2,4,9924.04
antics!,258,10,6.95,535,2.67,60,3,4,3718.25
lobotomy,245,14,7.26,586,3.44,180,1,5,4254.36
resident evil 2: the board game,999,14,7.53,610,2.35,120,1,4,4593.3
pacific typhoon,210,10,6.65,782,2.02,120,3,7,5200.3
full thrust,595,12,7.3,443,2.56,120,2,6,3233.9
techno bowl: arcade football unplugged,140,14,8.58,266,2.72,90,2,2,2282.28
rise of the luftwaffe,873,12,7.05,521,2.14,20,2,8,3673.0499999999997
1882: assiniboia,661,14,8.23,243,3.9,180,2,6,1999.89
pocket battles: celts vs. romans,156,8,6.4,1236,1.85,30,2,2,7910.400000000001
vengeance,532,14,7.17,570,2.78,120,1,4,4086.9
santo domingo,583,8,6.67,744,1.73,30,2,6,4962.48
the battle for normandy,627,0,7.92,324,3.73,240,2,8,2566.08
reds! the russian civil war 1918-1921,47,12,7.27,460,3.07,360,1,2,3344.2
tarot,234,12,6.82,712,2.45,30,2,8,4855.84
mezo,865,14,7.39,422,3.23,120,2,4,3118.58
lost legacy: second chronicle - vorpal sword & whitegold spire,489,14,6.81,636,1.29,10,2,6,4331.16
2gm tactics,574,12,7.62,501,2.65,120,1,4,3817.62
